<<<<<<< HEAD
condition_score,days_since_maintenance,defect_history,traffic_load,age_days,is_safety_critical,dept_eng,dept_smt,dept_trd,overdue_days
0.42,21,0,120,1825,1,1,0,0,3
0.55,42,0,120,1825,0,0,1,0,2
0.48,40,0,120,1825,0,0,0,1,4
0.68,88,0,120,1825,0,1,0,0,4
0.39,47,0,120,1825,0,0,1,0,6
0.61,113,0,120,1825,0,0,0,1,4
0.36,30,0,120,1825,1,1,0,0,4
0.74,162,0,120,1825,0,0,1,0,5
0.44,55,0,120,1825,0,1,0,0,6
0.51,42,0,120,1825,1,0,1,0,4
0.57,57,0,120,1825,0,0,0,1,4
0.71,102,0,120,1825,0,1,0,0,5
0.33,59,0,120,1825,1,0,1,0,6
0.66,128,0,120,1825,0,0,1,0,5
0.78,190,0,120,1825,0,1,0,0,6
0.63,83,0,120,1825,0,0,0,1,5
0.49,50,0,120,1825,0,1,0,0,4
0.29,19,0,120,1825,1,0,1,0,5
0.52,68,0,120,1825,0,0,0,1,4
0.73,116,0,120,1825,0,1,0,0,6
=======
condition_score,days_since_maintenance,defect_history,traffic_load,age_days,is_safety_critical,dept_eng,dept_smt,dept_trd,overdue_days,observation_timestamp,asset_id
0.44,236,2,69,5379,0,1,0,0,22,2024-12-11,AST_52
0.47,190,1,191,1906,0,0,0,1,25,2024-12-14,AST_46
0.72,74,4,131,2769,1,0,1,0,0,2024-12-30,AST_193
0.53,263,1,109,2451,0,1,0,0,27,2025-01-09,AST_188
0.9,44,0,99,4107,0,0,1,0,0,2025-01-19,AST_4
0.4,127,4,186,4105,1,0,1,0,12,2025-01-26,AST_170
0.89,98,4,192,3066,0,0,1,0,13,2025-02-01,AST_163
1.0,295,3,57,2739,0,0,1,0,29,2025-02-04,AST_178
0.6,190,2,165,3367,0,0,1,0,20,2025-02-04,AST_26
0.41,229,1,197,1913,0,0,1,0,15,2025-02-06,AST_50
0.96,279,3,89,4015,0,0,1,0,0,2025-02-06,AST_5
0.77,82,0,89,2511,1,0,0,1,0,2025-02-07,AST_109
0.48,227,4,122,3247,0,0,1,0,16,2025-02-18,AST_67
0.82,122,4,162,4008,1,0,1,0,9,2025-02-19,AST_14
0.43,46,3,77,4558,0,0,0,1,15,2025-02-23,AST_125
0.5,244,4,107,5179,0,0,0,1,0,2025-02-25,AST_128
0.64,51,4,91,4957,0,0,1,0,0,2025-03-13,AST_195
0.7,268,3,196,2752,1,0,1,0,0,2025-03-14,AST_17
0.65,96,3,81,4788,0,1,0,0,0,2025-03-28,AST_97
0.94,247,4,180,5409,1,0,1,0,8,2025-04-04,AST_186
0.7,226,4,68,2662,0,1,0,0,0,2025-04-08,AST_44
0.7,88,3,61,2394,0,0,0,1,17,2025-04-14,AST_187
0.61,135,2,92,2554,0,1,0,0,0,2025-04-17,AST_64
0.56,81,2,113,2582,0,0,1,0,13,2025-04-17,AST_139
0.41,15,3,144,3968,1,0,0,1,5,2025-05-03,AST_58
0.51,168,0,91,5267,0,1,0,0,0,2025-05-18,AST_169
0.5,154,4,102,4328,0,1,0,0,0,2025-05-24,AST_137
0.57,281,4,118,4482,0,1,0,0,0,2025-05-25,AST_35
0.68,195,3,77,5251,1,0,1,0,0,2025-05-25,AST_54
0.43,104,1,167,4194,0,1,0,0,2,2025-07-04,AST_60
0.7,265,4,75,2633,0,1,0,0,0,2025-07-16,AST_194
0.43,97,4,149,2586,1,0,0,1,0,2025-07-19,AST_0
0.44,113,2,88,4436,0,0,0,1,0,2025-07-25,AST_83
0.71,160,4,101,4484,1,0,1,0,0,2025-08-02,AST_158
0.51,227,0,52,2385,1,0,0,1,8,2025-08-09,AST_121
0.56,259,2,145,3152,0,0,1,0,0,2025-08-31,AST_38
0.93,152,3,147,3163,1,1,0,0,8,2025-09-01,AST_30
0.69,237,1,160,4120,0,1,0,0,24,2025-09-02,AST_72
0.44,69,4,121,2206,1,0,1,0,0,2025-09-15,AST_80
0.89,49,0,54,4519,0,0,0,1,21,2025-09-16,AST_124
0.57,82,0,170,3369,0,1,0,0,0,2025-09-19,AST_119
0.73,50,4,64,4959,1,1,0,0,0,2025-09-29,AST_6
0.48,281,3,87,3299,0,1,0,0,0,2025-10-01,AST_181
0.63,94,0,159,2708,0,1,0,0,15,2025-10-01,AST_59
0.82,294,3,187,4734,0,1,0,0,0,2025-10-02,AST_63
0.58,233,4,172,3241,1,1,0,0,0,2025-10-13,AST_94
0.78,182,0,171,5126,1,0,1,0,0,2025-10-20,AST_106
0.61,261,2,157,5262,0,1,0,0,0,2025-10-21,AST_49
0.56,272,3,146,4660,0,0,0,1,2,2025-10-31,AST_190
0.47,292,0,165,3746,0,0,1,0,9,2025-11-02,AST_12
0.54,236,1,83,2553,0,1,0,0,17,2025-11-03,AST_116
0.61,213,4,98,3790,0,0,0,1,6,2025-11-11,AST_155
0.83,264,2,186,3136,0,0,1,0,16,2025-11-14,AST_9
0.7,110,3,61,2263,0,0,0,1,0,2025-11-18,AST_183
0.54,291,3,136,2510,0,0,1,0,1,2025-12-06,AST_151
0.82,243,3,108,4343,0,1,0,0,0,2025-12-10,AST_13
0.63,291,0,135,2687,0,1,0,0,27,2025-12-11,AST_57
0.8,266,4,69,5563,0,0,0,1,0,2025-12-20,AST_154
0.69,105,3,192,4358,0,0,0,1,28,2025-12-30,AST_10
>>>>>>> faaec28 (Update RailSamanvayAI project)
